Black Panther (2018) ,7.8
Maze Runner: The Death Cure (2018) ,6.8
47 Meters Down (2017) ,5.7
A Christmas Prince (2017) ,5.6
Lerd (2017) ,7.4
Alien: Covenant (2017) ,6.5
American Assassin (2017) ,6.2
Amityville: The Awakening (2017) ,4.9
Annabelle: Creation (2017) ,6.6
Atomic Blonde (2017) ,6.7
The Babysitter (2017) ,6.3
Band Aid (2017) ,6.6
Batman vs. Two-Face (2017) ,6.1
Battle of the Sexes (2017) ,6.8
Beach Rats (2017) ,6.5
Beatriz at Dinner (2017) ,6.1
Beauty and the Beast (2017) ,7.3
Before I Fall (2017) ,6.4
The Beguiled (2017) ,6.4
The Big Sick (2017) ,7.6
Blade Runner 2049 (2017) ,8.1
The Book of Birdie (2017) ,5.8
Bright (2017) ,6.4
Bushwick (2017) ,5.2
The Bye Bye Man (2017) ,4.3
Call Me by Your Name (2017) ,8.1
Cars 3 (2017) ,6.8
Cherry Pop (2017) ,4.2
The Circle (2017) ,5.3
Coco (2017) ,8.5
Coin Heist (2017) ,4.8
Daddy's Home 2 (2017) ,6.0
Dance Academy: The Movie (2017) ,6.9
Death Race 2050 (2017) ,3.7
Deidra & Laney Rob a Train (2017) ,6.2
Descendants 2 (2017) ,6.7
Despicable Me 3 (2017) ,6.3
Dim the Fluorescents (2017) ,8.0
The Dinner (2017) ,4.5
The Disaster Artist (2017) ,7.6
Disco (2017) ,7.1
The Discovery (2017) ,6.3
"Everything, Everything (2017) ",6.4
The Fate of the Furious (2017) ,6.7
Félicité (2017) ,6.4
Ferdinand (2017) ,6.7
Fifty Shades Darker (2017) ,4.6
The Florida Project (2017) ,7.7
For Here or to Go? (2015) ,7.6
Geostorm (2017) ,5.4
Gerald's Game (2017) ,6.7
Get Out (2017) ,7.7
Ghost in the Shell (2017) ,6.4
Gifted (2017) ,7.6
Girls Trip (2017) ,6.3
Good Time (2017) ,7.3
The Greatest Showman (2017) ,7.9
Guardians of the Galaxy Vol. 2 (2017) ,7.7
Happy Death Day (2017) ,6.5
The Hitman's Bodyguard (2017) ,6.9
Home Again (2017) ,5.7
Hostiles (2017) ,7.3
I Don't Feel at Home in This World Anymore. (2017) ,7.0
"I, Tonya (2017) ",7.6
The Incredible Jessica James (2017) ,6.5
Ingrid Goes West (2017) ,6.7
Innan vi dör             ,7.9
It (2017) ,7.5
It Comes at Night (2017) ,6.2
Jigsaw (2017) ,5.9
Jumanji: Welcome to the Jungle (2017) ,7.1
Justice League (2017) ,6.8
Kidnap (2017) ,5.9
La llamada (2017) ,6.5
Lady Bird (2017) ,7.6
The Last Word (2017) ,6.6
The LEGO Batman Movie (2017) ,7.3
Life (2017) ,6.6
The Little Hours (2017) ,5.8
Logan (2017) ,8.1
Logan Lucky (2017) ,7.1
The Mad Ones (2017) ,7.6
Meari to majo no hana (2017) ,6.8
